n,a_n_real,a_n_imag
1,0.6818335115657543,0.0
2,-0.5540179163654004,0.0
3,-0.9977019211031877,0.0
4,-0.32768520107213917,0.0
5,0.06865323760385689,0.0
6,1.2564041691743126,0.0
7,0.2873598146802747,0.0
8,0.37323637211573146,0.0
9,0.49995232753335506,0.0
10,0.18238287694478839,0.0
11,0.4620909010415817,0.0
12,-0.5983039992521948,0.0
13,-1.247144619867353,0.0
14,-0.5550326842358455,0.0
15,0.42679360460529026,0.0
16,-0.905378940453299,0.0
17,-0.5371049883307624,0.0
18,-0.04016888053698864,0.0
19,-0.16974945132582064,0.0
20,-0.5389937968029903,0.0
21,0.1560433693080654,0.0
22,0.26629665579530126,0.0
23,-1.9556886279551406,0.0
24,3.9064320803769874,0.0
25,-5.472924659724853,0.0
26,14.985300132154515,0.0
27,-42.084236896151964,0.0
28,130.94305338182556,0.0
29,-416.33358179284494,0.0
30,1357.6889594900572,0.0
31,-4494.472615337028,0.0
32,14856.352892814935,0.0
33,-48704.309222538104,0.0
34,157224.68255641134,0.0
35,-496693.21711190796,0.0
36,1527425.2418784273,0.0
37,-4550717.308293042,0.0
38,13078970.555761112,0.0
39,-36115265.05261954,0.0
40,95444836.44208668,0.0
41,-240490787.8359254,0.0
42,575486515.3998835,0.0
43,-1302491207.6586838,0.0
44,2775627285.5553575,0.0
45,-5540769927.927694,0.0
46,10298321812.996534,0.0
47,-17688082937.0206,0.0
48,27799270114.03934,0.0
49,-39430965299.96275,0.0
50,49424342621.29737,0.0
51,-52773603942.77203,0.0
52,44349007703.775345,0.0
53,-22393328899.927025,0.0
54,-7748876552.664782,0.0
55,33067015542.138596,0.0
56,-38682717857.09312,0.0
57,18962071481.446724,0.0
58,13920829536.52833,0.0
59,-34584296998.16656,0.0
60,24332654958.32963,0.0
61,8607729222.068684,0.0
62,-31841169879.9432,0.0
63,20056436017.468773,0.0
64,14293158302.67005,0.0
65,-30525318123.461895,0.0
66,7854990368.783615,0.0
67,24569962789.76603,0.0
68,-22510504218.162758,0.0
69,-11503604386.10336,0.0
70,27745436839.69031,0.0
71,-1413163488.4044526,0.0
72,-26522464719.663013,0.0
73,11097820141.075212,0.0
74,22329654301.047073,0.0
75,-17179711065.114847,0.0
76,-17667744912.8725,0.0
77,20518003032.733845,0.0
78,13771044331.930077,0.0
79,-22044198108.026783,0.0
80,-11148638518.879826,0.0
81,22490241587.535995,0.0
82,9885814420.844313,0.0
83,-22295415360.313606,0.0
84,-9849977017.590864,0.0
85,21597027325.05226,0.0
86,10897028381.114706,0.0
87,-20472454066.437252,0.0
88,-12670524735.873035,0.0
89,18719661657.58972,0.0
90,14954925585.386974,0.0
91,-16290341307.557432,0.0
92,-17375028134.948128,0.0
93,13142737739.57396,0.0
94,19537273428.387676,0.0
95,-9310742572.427721,0.0
96,-21150224183.701317,0.0
97,5046502943.161473,0.0
98,21959437896.96494,0.0
99,-671367738.8252963,0.0
100,-21933422143.62511,0.0
101,-3382632128.486019,0.0
102,21222843396.078304,0.0
103,6723916975.193245,0.0
104,-20237106403.853123,0.0
105,-8966282071.977755,0.0
106,19517513038.137653,0.0
107,9742291999.248592,0.0
108,-19689791941.723537,0.0
109,-8378750024.44952,0.0
110,21098119515.09332,0.0
111,3359460008.8900647,0.0
112,-22689501613.544968,0.0
113,8332367322.956914,0.0
114,17385377353.164738,0.0
115,-26086937200.563156,0.0
116,17961085019.45139,0.0
117,-7438862613.497903,0.0
118,1896781748.9368515,0.0
119,-273575354.9833169,0.0
120,16799700.547241535,0.0
