N,lambda,rho,M,Sum|a|^2,Eoff,ratio,M_neg?,Eoff_log?
200,0.1,1e-09,-1.802480894846237,1.225266412030496,1.1692128852044248,0.9542519681632504,True,False
200,0.1,1e-07,-1.6235690509342084,1.212032934356872,1.0918340600175105,0.9008287061084347,True,False
200,0.1,1e-06,-1.533274784129213,1.1520757783668873,0.9969152389379219,0.8653208909149087,True,False
200,0.3,1e-09,-1.7696709361648595,1.1599092145250076,1.0504869028695012,0.9056630378608418,True,False
200,0.3,1e-07,-1.5993752546779103,1.1498770039428274,0.9838768638136077,0.8556366119506523,True,False
200,0.3,1e-06,-1.4991986279400324,1.097199850361351,0.8992234233039018,0.81956210895194,True,False
200,1.0,1e-09,-1.542009123617031,1.0005027767913282,0.725484040511359,0.7251194672722742,True,False
200,1.0,1e-07,-1.4030816054514885,0.9971941361623937,0.6843500359415726,0.6862756319198068,True,False
200,1.0,1e-06,-1.2855854816331518,0.9630252754703922,0.6253993715343622,0.6494111706765788,True,False
200,3.0,1e-09,-0.45776261531911355,0.904984544018365,0.17093427248045234,0.18888087493899072,True,False
200,3.0,1e-07,-0.3847305537195048,0.9066198791075147,0.15722110503694786,0.17341457942850075,True,True
200,3.0,1e-06,-0.2686311922688664,0.8976422341315365,0.1299558178987481,0.1447746250759687,True,True
500,0.1,1e-09,-1.313608069702569,1.141378370780859,0.9176437599021079,0.8039785783519922,True,False
500,0.1,1e-07,-1.0278192755302538,1.1258004728103859,0.8058866970083707,0.7158343920362725,True,False
500,0.1,1e-06,-0.9401233665929096,1.0605041606209291,0.7072903346644832,0.6669378215832384,True,False
500,0.3,1e-09,-1.2823129307857426,1.09080246103939,0.8292426421754171,0.760213394994781,True,False
500,0.3,1e-07,-1.0101907568608437,1.0797129325040418,0.7312931056423748,0.6773032753681844,True,False
500,0.3,1e-06,-0.910887888293275,1.0222210873222155,0.6425074188203608,0.6285405640608109,True,False
500,1.0,1e-09,-1.0874634113362698,0.9664433758752318,0.578415276400742,0.598498878298914,True,False
500,1.0,1e-07,-0.865335635188968,0.9650327173743961,0.5150789270421967,0.5337424501457245,True,False
500,1.0,1e-06,-0.743507914168608,0.9278516684370883,0.4517689289062796,0.4868977922594652,True,False
500,3.0,1e-09,-0.13798067732008418,0.9096358937435904,0.110616655188708,0.12160542031105118,True,True
500,3.0,1e-07,-0.02951501178941184,0.9142083151385109,0.08975683636647291,0.0981798512222829,True,True
500,3.0,1e-06,0.09603725275438592,0.9051854555602896,0.06018233560799158,0.066486193783063,False,True
800,0.1,1e-09,-1.0440867631822812,1.0964646001055436,0.7867613001940148,0.7175437311138751,True,False
800,0.1,1e-07,-0.7104549570803965,1.079907805524924,0.6683863000709573,0.6189290388044437,True,False
800,0.1,1e-06,-0.6274444992652289,1.0150535681823858,0.5724666616816478,0.5639767984922609,True,False
800,0.3,1e-09,-1.0149296098401983,1.0534005733425675,0.71306563078427,0.6769178305282543,True,False
800,0.3,1e-07,-0.6957133442620719,1.0416485430106754,0.6080867780458161,0.5837734638290413,True,False
800,0.3,1e-06,-0.6010458389933342,0.9844716840741263,0.5209097089277979,0.529126146901525,True,False
800,1.0,1e-09,-0.8401988850549954,0.9472303267523288,0.4994748254149175,0.5273002893893985,True,False
800,1.0,1e-07,-0.5739785163306773,0.9462904953401893,0.4289506649836077,0.45329702358407487,True,False
800,1.0,1e-06,-0.455194330008798,0.9096043194070198,0.36499981292040773,0.40127317464626244,True,False
800,3.0,1e-09,0.03258203527608004,0.9106330809072257,0.07851630621473049,0.086221671341555,False,True
800,3.0,1e-07,0.1731953913469561,0.9176571821138373,0.05277604849023154,0.057511726076900645,False,True
800,3.0,1e-06,0.3006065263785415,0.9109644865701618,0.021170856515265513,0.02324004593743836,False,True
1000,0.1,1e-09,-0.9145089156437745,1.0754948168314575,0.7214498110101362,0.670807334186526,True,False
1000,0.1,1e-07,-0.5616429955069306,1.0586259313128057,0.5970484317611984,0.5639843254366502,True,False
1000,0.1,1e-06,-0.4811438452927852,0.99417222854172,0.5078601248037933,0.5108371670658483,True,False
1000,0.3,1e-09,-0.8858767717127036,1.036276440747259,0.6547587648171462,0.6318379334620399,True,False
1000,0.3,1e-07,-0.5485330487944587,1.0244085495420767,0.5441216709696801,0.5311569014265931,True,False
1000,0.3,1e-06,-0.45695801567084604,0.9671475322026514,0.4625679896921788,0.47828069068086565,True,False
1000,1.0,1e-09,-0.7198229122576957,0.9395468315017477,0.45922187771907796,0.488769545404213,True,False
1000,1.0,1e-07,-0.43934604533497046,0.9389823607113799,0.3844175661945155,0.40939806995232364,True,False
1000,1.0,1e-06,-0.32383689781178415,0.9012544070365288,0.3234423905518604,0.35888023184862045,True,False
1000,3.0,1e-09,0.11380465811766166,0.9133837426016951,0.06205228098592008,0.06793670402887782,False,True
1000,3.0,1e-07,0.258441016315986,0.9208247212885615,0.03505099112454779,0.038064780749477466,False,True
1000,3.0,1e-06,0.3867624538202256,0.9129791509161721,0.0035689247295096482,0.003909097733423859,False,True
